"street_segment","graffiti_type","graffiti_types_grouped","observer_id","overwriting"
145328,"other","Others",94,"no"
145322,"illustration","SITS",94,"no"
145322,"illustration","SITS",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
33905,"tag","Tag",94,"no"
33878,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
3929,"tag","Tag",94,"yes"
3929,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
3929,"tag","Tag",94,"yes"
3929,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
33906,"tag","Tag",94,"no"
3917,"tag","Tag",94,"no"
3917,"tag","Tag",94,"no"
3917,"tag","Tag",94,"no"
3917,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"tag","Tag",94,"no"
3918,"illustration","SITS",94,"no"
3918,"tag","Tag",94,"no"
3930,"tag","Tag",94,"no"
3930,"tag","Tag",94,"no"
3930,"tag","Tag",94,"no"
3930,"tag","Tag",94,"no"
33878,"tag","Tag",94,"no"
33878,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
34686,"tag","Tag",94,"no"
3930,"tag","Tag",94,"no"
3930,"tag","Tag",94,"no"
3930,"tag","Tag",94,"no"
3930,"tag","Tag",94,"no"
3930,"tag","Tag",94,"no"
3930,"tag","Tag",94,"no"
3930,"tag","Tag",94,"no"
33903,"tag","Tag",94,"no"
3929,"tag","Tag",94,"no"
3918,"illustration","SITS",94,"no"
3918,"tag","Tag",94,"no"
33906,"tag","Tag",94,"no"
140454,"illustration","SITS",2,"no"
140454,"illustration","SITS",2,"no"
140454,"tag","Tag",2,"yes"
140454,"illustration","SITS",2,"no"
140454,"tag","Tag",2,"no"
140454,"tag","Tag",2,"no"
140454,"tag","Tag",2,"no"
140454,"throw up","SITS",2,"no"
140454,"tag","Tag",2,"no"
140454,"tag","Tag",2,"no"
140454,"tag","Tag",2,"no"
358749,"tag","Tag",2,"no"
358749,"other","Others",2,"no"
358749,"tag","Tag",2,"no"
358749,"other","Others",2,"no"
358749,"other","Others",2,"no"
358749,"other","Others",2,"no"
358749,"tag","Tag",2,"no"
358749,"tag","Tag",2,"no"
358749,"tag","Tag",2,"no"
358749,"tag","Tag",2,"no"
358749,"tag","Tag",2,"yes"
358749,"other","Others",2,"no"
559471,"tag","Tag",2,"no"
559471,"tag","Tag",2,"no"
559471,"tag","Tag",2,"no"
559471,"tag","Tag",2,"no"
559471,"tag","Tag",2,"no"
559471,"tag","Tag",2,"no"
559471,"illustration","SITS",2,"no"
559471,"other","Others",2,"no"
559471,"tag","Tag",2,"no"
559471,"tag","Tag",2,"no"
559471,"tag","Tag",2,"no"
559471,"tag","Tag",2,"no"
610557,"other","Others",2,"no"
610547,"tag","Tag",2,"no"
610547,"tag","Tag",2,"no"
610547,"tag","Tag",2,"no"
610547,"other","Others",2,"no"
610547,"other","Others",2,"no"
610547,"tag","Tag",2,"no"
610547,"tag","Tag",2,"no"
610547,"tag","Tag",2,"no"
610547,"tag","Tag",2,"no"
610547,"tag","Tag",2,"no"
610547,"tag","Tag",2,"no"
610547,"tag","Tag",2,"no"
610547,"tag","Tag",2,"no"
610547,"tag","Tag",2,"no"
140443,"masterpiece","Masterpiece",2,"no"
140810,"tag","Tag",2,"no"
140810,"other","Others",2,"no"
140810,"other","Others",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"yes"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"yes"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"tag","Tag",2,"no"
140810,"other","Others",2,"no"
140810,"other","Others",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"no"
140436,"tag","Tag",2,"yes"
140436,"tag","Tag",2,"no"
140436,"illustration","SITS",2,"no"
140436,"tag","Tag",2,"yes"
140436,"tag","Tag",2,"no"
140436,"other","Others",2,"yes"
140436,"tag","Tag",2,"yes"
140436,"other","Others",2,"yes"
140436,"other","Others",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140591,"stencil","SITS",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140591,"tag","Tag",2,"no"
140546,"other","Others",2,"no"
140546,"other","Others",2,"no"
140546,"other","Others",2,"no"
140546,"tag","Tag",2,"no"
140546,"tag","Tag",2,"no"
140546,"tag","Tag",2,"no"
611276,"tag","Tag",2,"no"
611276,"tag","Tag",2,"no"
140543,"tag","Tag",2,"no"
140543,"tag","Tag",2,"no"
140543,"tag","Tag",2,"no"
140543,"tag","Tag",2,"no"
140543,"tag","Tag",2,"no"
140543,"tag","Tag",2,"no"
140543,"other","Others",2,"no"
140543,"tag","Tag",2,"no"
140543,"other","Others",2,"no"
140543,"tag","Tag",2,"no"
140543,"other","Others",2,"no"
140454,"illustration","SITS",2,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"throw up","SITS",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
141064,"tag","Tag",3,"no"
