"n_blocks","realized","Graffiti Types","Observed MHI Value","Mean Permutated MHI","P Value"
10,15,"Masterpiece vs Tag",0.118043192236178,0.21875990727041,"< 0.001"
10,15,"Masterpiece vs SITS",0.162777606964192,0.268982374930093,"< 0.001"
10,15,"Tag vs SITS",0.68829230519046,0.791099872076048,"< 0.001"
25,22,"Masterpiece vs Tag",0.118043192236178,0.213490252832459,"< 0.001"
25,22,"Masterpiece vs SITS",0.162777606964192,0.26760065200571,"< 0.001"
25,22,"Tag vs SITS",0.68829230519046,0.786074441672218,"< 0.001"
50,53,"Masterpiece vs Tag",0.118043192236178,0.196939561605055,"< 0.001"
50,53,"Masterpiece vs SITS",0.162777606964192,0.246340122221208,"< 0.001"
50,53,"Tag vs SITS",0.68829230519046,0.780511411772249,"< 0.001"
100,78,"Masterpiece vs Tag",0.118043192236178,0.189070459000571,"< 0.001"
100,78,"Masterpiece vs SITS",0.162777606964192,0.236679342273301,"< 0.001"
100,78,"Tag vs SITS",0.68829230519046,0.770235470855763,"< 0.001"
