"Log Transformations","Graffiti Types","Observed MHI Value","Mean Permutated MHI","SD Permutated MHI","P Value"
"No Transformation","Masterpiece vs Tag",0.168626741917644,0.433665116032596,0.0286219045130457,"< 0.001"
"No Transformation","Masterpiece vs SITS",0.233839333917532,0.420263906941808,0.0306178089977775,"< 0.001"
"No Transformation","Tag vs SITS",0.721657237037056,0.894244104688987,0.00651899640628178,"< 0.001"
"Square Root Transformation","Masterpiece vs Tag",0.142366550112541,0.284809464550285,0.00973902340173175,"< 0.001"
"Square Root Transformation","Masterpiece vs SITS",0.178535056439811,0.308319675436377,0.0132483247890985,"< 0.001"
"Square Root Transformation","Tag vs SITS",0.718002420029383,0.829682182725489,0.00478347662751449,"< 0.001"
"Log Transformation + 0.5","Masterpiece vs Tag",0.117404643102342,0.238216036618353,0.00762917993642868,"< 0.001"
"Log Transformation + 0.5","Masterpiece vs SITS",0.156760434474422,0.289543760440876,0.0122131920138043,"< 0.001"
"Log Transformation + 0.5","Tag vs SITS",0.685575445587047,0.789261631285903,0.00567771735796838,"< 0.001"
"Log Transformation + 1","Masterpiece vs Tag",0.118043192236178,0.251980038649734,0.00846997159620282,"< 0.001"
"Log Transformation + 1","Masterpiece vs SITS",0.162777606964192,0.305415353907489,0.0132173725783302,"< 0.001"
"Log Transformation + 1","Tag vs SITS",0.68829230519046,0.799125704333027,0.0055412659641454,"< 0.001"
