"Log Transformations","Graffiti Types","Observed MHI Value","Mean Permutated MHI","SD Permutated MHI","P Value"
"No Transformation","Masterpiece vs Tag",0.168626741917644,0.341890011355527,0.0268946410102494,"< 0.001"
"No Transformation","Masterpiece vs SITS",0.233839333917532,0.390622715658599,0.0275550670502842,"< 0.001"
"No Transformation","Tag vs SITS",0.721657237037056,0.86564031874327,0.00732794612894888,"< 0.001"
"Square Root Transformation","Masterpiece vs Tag",0.142366550112541,0.24435527191198,0.00840931180205935,"< 0.001"
"Square Root Transformation","Masterpiece vs SITS",0.178535056439811,0.275137402732502,0.0115800963533442,"< 0.001"
"Square Root Transformation","Tag vs SITS",0.718002420029383,0.814575104150685,0.00470754921089846,"< 0.001"
"Log Transformation + 0.5","Masterpiece vs Tag",0.117404643102342,0.205225405589841,0.0067637676293881,"< 0.001"
"Log Transformation + 0.5","Masterpiece vs SITS",0.156760434474422,0.254138521053672,0.0109739823553317,"< 0.001"
"Log Transformation + 0.5","Tag vs SITS",0.685575445587047,0.778420354203128,0.00561064896394481,"< 0.001"
"Log Transformation + 1","Masterpiece vs Tag",0.118043192236178,0.213490252832459,0.00737011372768837,"< 0.001"
"Log Transformation + 1","Masterpiece vs SITS",0.162777606964192,0.26760065200571,0.0115802779443732,"< 0.001"
"Log Transformation + 1","Tag vs SITS",0.68829230519046,0.786074441672218,0.00543996341007223,"< 0.001"
