"Scenario","Error Rate","Graffiti Types","Valid re-estimations","Number p < .05","Percentage p < .05","Number observed < null","Minimum p","Maximum p","Minimum observed MHI","Maximum observed MHI","Minimum deficit (%)","Maximum deficit (%)"
"Adjacent boundary only",0.05,"Masterpiece vs SITS",20,20,100,20,0.005,0.005,0.211410906135358,0.264106029373659,25.0946673622033,37.6365883985707
"Adjacent boundary only",0.05,"Masterpiece vs Tag",20,20,100,20,0.005,0.005,0.161552229504719,0.190120737024396,37.1283683549152,44.2960004845173
"Adjacent boundary only",0.05,"Tag vs SITS",20,20,100,20,0.005,0.005,0.740894968379316,0.761421571666399,7.73429619548952,9.7928198464968
"Adjacent boundary only",0.1,"Masterpiece vs SITS",20,20,100,20,0.005,0.005,0.278561292640984,0.348684581123237,14.9590050651511,26.6684353466748
"Adjacent boundary only",0.1,"Masterpiece vs Tag",20,20,100,20,0.005,0.005,0.210863065205627,0.270174577677233,25.6772697107751,36.514708593161
"Adjacent boundary only",0.1,"Tag vs SITS",20,20,100,20,0.005,0.005,0.78899518236575,0.808285880397525,4.26430770601044,6.26098313561296
"Adjacent boundary only",0.15,"Masterpiece vs SITS",20,20,100,20,0.005,0.005,0.304836472497283,0.369567223071948,13.7531633466928,23.0327353519357
"Adjacent boundary only",0.15,"Masterpiece vs Tag",20,20,100,20,0.005,0.005,0.243693305062746,0.30170486050797,23.8674898704748,33.3775057842616
"Adjacent boundary only",0.15,"Tag vs SITS",20,20,100,20,0.005,0.005,0.81956022469884,0.835701397881151,2.64143777989599,4.43862057849759
"Diffuse with cross-pole bleed",0.05,"Masterpiece vs SITS",20,20,100,20,0.005,0.005,0.418028468021067,0.477890630132705,9.76384833472929,21.063136573054
"Diffuse with cross-pole bleed",0.05,"Masterpiece vs Tag",20,20,100,20,0.005,0.005,0.378247662085719,0.431471142029862,10.5367133430411,17.4860247480263
"Diffuse with cross-pole bleed",0.05,"Tag vs SITS",20,20,100,20,0.005,0.005,0.714079893000679,0.731090918965446,9.78925088191192,11.6776192047107
"Diffuse with cross-pole bleed",0.1,"Masterpiece vs SITS",20,20,100,20,0.005,0.005,0.556437163142155,0.59662243432457,5.33401082196843,10.6434153269034
"Diffuse with cross-pole bleed",0.1,"Masterpiece vs Tag",20,20,100,20,0.005,0.01,0.53279013334121,0.577911650035362,4.44718727320607,8.69430194009222
"Diffuse with cross-pole bleed",0.1,"Tag vs SITS",20,20,100,20,0.005,0.005,0.743921728504839,0.759451581099083,7.42499661992977,8.94427454100718
"Diffuse with cross-pole bleed",0.15,"Masterpiece vs SITS",20,18,90,20,0.005,0.185,0.62327323739693,0.67526248025626,1.13448712633862,7.97656381498643
"Diffuse with cross-pole bleed",0.15,"Masterpiece vs Tag",20,16,80,19,0.005,0.925,0.611634886340169,0.672548144390767,-1.92789959850535,5.93962548959004
"Diffuse with cross-pole bleed",0.15,"Tag vs SITS",20,20,100,20,0.005,0.005,0.757635668729679,0.784813488745002,5.52361491798164,7.86586307529361
