"Graffiti Types","Null Mean MHI","P Value","Observed MHI Value","Scenario","Error Rate","Replicate","Deficit (%)"
"Masterpiece vs Tag",0.297943325090602,0.005,0.184035493438351,"Adjacent boundary only",0.05,1,38.2313755871564
"Masterpiece vs SITS",0.347734460704133,0.005,0.249043919956631,"Adjacent boundary only",0.05,1,28.3810067451072
"Tag vs SITS",0.823104094131987,0.005,0.755519069169952,"Adjacent boundary only",0.05,1,8.21099365728549
"Masterpiece vs Tag",0.302395105788954,0.005,0.190120737024396,"Adjacent boundary only",0.05,2,37.1283683549152
"Masterpiece vs SITS",0.352586418180316,0.005,0.264106029373659,"Adjacent boundary only",0.05,2,25.0946673622033
"Tag vs SITS",0.821756837849306,0.005,0.75051433226779,"Adjacent boundary only",0.05,2,8.66953608417434
"Masterpiece vs Tag",0.29085302802031,0.005,0.176446481254443,"Adjacent boundary only",0.05,3,39.334830909128
"Masterpiece vs SITS",0.340212342323595,0.005,0.235278289710216,"Adjacent boundary only",0.05,3,30.8436936463552
"Tag vs SITS",0.824241935785307,0.005,0.753741505213333,"Adjacent boundary only",0.05,3,8.55336613088047
"Masterpiece vs Tag",0.297859567488901,0.005,0.173801394923777,"Adjacent boundary only",0.05,4,41.6498867607289
"Masterpiece vs SITS",0.348235372533,0.005,0.219808853962709,"Adjacent boundary only",0.05,4,36.8792284471679
"Tag vs SITS",0.825834228888068,0.005,0.750900132261446,"Adjacent boundary only",0.05,4,9.07374555393721
"Masterpiece vs Tag",0.298173803715596,0.005,0.178504511853855,"Adjacent boundary only",0.05,5,40.1340729368312
"Masterpiece vs SITS",0.347127645685951,0.005,0.240758267187018,"Adjacent boundary only",0.05,5,30.6427274868122
"Tag vs SITS",0.825668002188279,0.005,0.75666898321703,"Adjacent boundary only",0.05,5,8.35675099293911
"Masterpiece vs Tag",0.294859137911693,0.005,0.179675035265073,"Adjacent boundary only",0.05,6,39.0641115830421
"Masterpiece vs SITS",0.34426426414526,0.005,0.237348738959392,"Adjacent boundary only",0.05,6,31.0562368276352
"Tag vs SITS",0.825141271746187,0.005,0.753349651548518,"Adjacent boundary only",0.05,6,8.70052470478681
"Masterpiece vs Tag",0.299682943003187,0.005,0.178340917573699,"Adjacent boundary only",0.05,7,40.4901340775333
"Masterpiece vs SITS",0.34865797770144,0.005,0.240683933135666,"Adjacent boundary only",0.05,7,30.9684709575852
"Tag vs SITS",0.823431221884278,0.005,0.748210142116105,"Adjacent boundary only",0.05,7,9.13507743804549
"Masterpiece vs Tag",0.306998562331827,0.005,0.178735801805514,"Adjacent boundary only",0.05,8,41.7795964750079
"Masterpiece vs SITS",0.358494874268024,0.005,0.231728428877776,"Adjacent boundary only",0.05,8,35.3607413910953
"Tag vs SITS",0.821325937822858,0.005,0.740894968379316,"Adjacent boundary only",0.05,8,9.7928198464968
"Masterpiece vs Tag",0.313705626710197,0.005,0.185689979697587,"Adjacent boundary only",0.05,9,40.8075712109784
"Masterpiece vs SITS",0.365389084793359,0.005,0.254388531954761,"Adjacent boundary only",0.05,9,30.3787270770205
"Tag vs SITS",0.822037856596488,0.005,0.747852123341472,"Adjacent boundary only",0.05,9,9.02461275471793
"Masterpiece vs Tag",0.312681738716462,0.005,0.184510247617349,"Adjacent boundary only",0.05,10,40.9910382439499
"Masterpiece vs SITS",0.363082337526299,0.005,0.241596041462519,"Adjacent boundary only",0.05,10,33.4597096877456
"Tag vs SITS",0.820920229543806,0.005,0.75248719891225,"Adjacent boundary only",0.05,10,8.33613646840994
"Masterpiece vs Tag",0.314133615250596,0.005,0.186484131072213,"Adjacent boundary only",0.05,11,40.6354105327289
"Masterpiece vs SITS",0.36472912186247,0.005,0.250086886095754,"Adjacent boundary only",0.05,11,31.432158523921
"Tag vs SITS",0.823543987446657,0.005,0.756282222431243,"Adjacent boundary only",0.05,11,8.16735548321518
"Masterpiece vs Tag",0.300473958736333,0.005,0.167376012518639,"Adjacent boundary only",0.05,12,44.2960004845173
"Masterpiece vs SITS",0.34919505039336,0.005,0.224986755121057,"Adjacent boundary only",0.05,12,35.5698899891007
"Tag vs SITS",0.82465547403273,0.005,0.756107844992486,"Adjacent boundary only",0.05,12,8.31227478610339
"Masterpiece vs Tag",0.297318917478947,0.005,0.179240228406185,"Adjacent boundary only",0.05,13,39.7144890994442
"Masterpiece vs SITS",0.34765147885573,0.005,0.248628502835812,"Adjacent boundary only",0.05,13,28.483404225935
"Tag vs SITS",0.825452735865268,0.005,0.749569827913194,"Adjacent boundary only",0.05,13,9.19288345110779
"Masterpiece vs Tag",0.31213161857789,0.005,0.176022796343265,"Adjacent boundary only",0.05,14,43.6062270316458
"Masterpiece vs SITS",0.363200740915545,0.005,0.242012399220912,"Adjacent boundary only",0.05,14,33.366766099966
"Tag vs SITS",0.823605852346228,0.005,0.751388920998242,"Adjacent boundary only",0.05,14,8.76838491886131
"Masterpiece vs Tag",0.303847451671117,0.005,0.177307625015234,"Adjacent boundary only",0.05,15,41.64584101658
"Masterpiece vs SITS",0.352946221623897,0.005,0.231010167405322,"Adjacent boundary only",0.05,15,34.548054844602
"Tag vs SITS",0.825248754704862,0.005,0.761421571666399,"Adjacent boundary only",0.05,15,7.73429619548952
"Masterpiece vs Tag",0.299696951825333,0.005,0.183060012934364,"Adjacent boundary only",0.05,16,38.9182933561989
"Masterpiece vs SITS",0.348555121885268,0.005,0.252350779686929,"Adjacent boundary only",0.05,16,27.6008975791225
"Tag vs SITS",0.826022716810961,0.005,0.755295659266183,"Adjacent boundary only",0.05,16,8.56236228197635
"Masterpiece vs Tag",0.300572478864198,0.005,0.171386454296503,"Adjacent boundary only",0.05,17,42.9799910676661
"Masterpiece vs SITS",0.351158256421047,0.005,0.228876673497802,"Adjacent boundary only",0.05,17,34.8223573523575
"Tag vs SITS",0.823948699500515,0.005,0.757376690500184,"Adjacent boundary only",0.05,17,8.07963032658318
"Masterpiece vs Tag",0.28951200114985,0.005,0.161552229504719,"Adjacent boundary only",0.05,18,44.1984343090841
"Masterpiece vs SITS",0.338998301578666,0.005,0.211410906135358,"Adjacent boundary only",0.05,18,37.6365883985707
"Tag vs SITS",0.824263404205264,0.005,0.757475434671172,"Adjacent boundary only",0.05,18,8.10274594181308
"Masterpiece vs Tag",0.300626084761142,0.005,0.180131781450306,"Adjacent boundary only",0.05,19,40.0811205077474
"Masterpiece vs SITS",0.352225746322806,0.005,0.249849226784429,"Adjacent boundary only",0.05,19,29.0655980169466
"Tag vs SITS",0.822597693771216,0.005,0.750268052277537,"Adjacent boundary only",0.05,19,8.79283300225193
