"Scenario","Error Rate","Graffiti Types","Median Observed MHI","Median Null Mean MHI","Median Deficit (%)","Min Deficit (%)","Max P Value","Share P < 0.05","Share P < 0.01"
"Adjacent boundary only","5%","Masterpiece vs SITS",0.241,0.349,31.2,25.1,0.005,"1.00","1.00"
"Adjacent boundary only","5%","Masterpiece vs Tag",0.179,0.3,40.7,37.1,0.005,"1.00","1.00"
"Adjacent boundary only","5%","Tag vs SITS",0.753,0.824,8.6,7.7,0.005,"1.00","1.00"
"Adjacent boundary only","10%","Masterpiece vs SITS",0.296,0.389,24.5,15,0.005,"1.00","1.00"
"Adjacent boundary only","10%","Masterpiece vs Tag",0.231,0.344,33.1,25.7,0.005,"1.00","1.00"
"Adjacent boundary only","10%","Tag vs SITS",0.797,0.843,5.5,4.3,0.005,"1.00","1.00"
"Adjacent boundary only","15%","Masterpiece vs SITS",0.346,0.426,18.2,13.8,0.005,"1.00","1.00"
"Adjacent boundary only","15%","Masterpiece vs Tag",0.269,0.386,27.9,23.9,0.005,"1.00","1.00"
"Adjacent boundary only","15%","Tag vs SITS",0.827,0.858,3.5,2.6,0.005,"1.00","1.00"
"Diffuse with cross-pole bleed","5%","Masterpiece vs SITS",0.45,0.526,14.2,9.8,0.005,"1.00","1.00"
"Diffuse with cross-pole bleed","5%","Masterpiece vs Tag",0.41,0.474,14.6,10.5,0.005,"1.00","1.00"
"Diffuse with cross-pole bleed","5%","Tag vs SITS",0.722,0.809,10.7,9.8,0.005,"1.00","1.00"
"Diffuse with cross-pole bleed","10%","Masterpiece vs SITS",0.572,0.626,8.6,5.3,0.005,"1.00","1.00"
"Diffuse with cross-pole bleed","10%","Masterpiece vs Tag",0.553,0.591,6.3,4.4,0.01,"1.00","0.95"
"Diffuse with cross-pole bleed","10%","Tag vs SITS",0.753,0.818,8,7.4,0.005,"1.00","1.00"
"Diffuse with cross-pole bleed","15%","Masterpiece vs SITS",0.648,0.685,5.3,1.1,0.185,"0.90","0.85"
"Diffuse with cross-pole bleed","15%","Masterpiece vs Tag",0.639,0.662,3.4,-1.9,0.925,"0.80","0.40"
"Diffuse with cross-pole bleed","15%","Tag vs SITS",0.775,0.828,6.5,5.5,0.005,"1.00","1.00"
