"street_segment","block_id"
"114867",10
"11490",10
"11494",15
"115030",9
"140398",17
"140403",17
"140405",12
"140406",16
"140413",16
"140417",16
"140418",16
"140419",16
"140420",16
"140424",11
"140427",12
"140435",17
"140436",17
"140439",12
"140440",12
"140441",12
"140443",17
"140449",17
"140450",12
"140451",12
"140452",12
"140454",17
"140455",17
"140460",17
"140466",16
"140469",17
"140470",11
"140471",11
"140472",11
"140473",11
"140477",16
"140478",17
"140480",12
"140482",17
"140484",17
"140485",11
"140487",12
"140489",11
"140490",11
"140491",16
"140495",11
"140497",11
"140498",11
"140499",11
"140501",16
"140505",15
"140507",18
"140509",18
"140510",18
"140518",17
"140519",17
"140522",18
"140523",17
"140524",17
"140527",17
"140528",17
"140531",17
"140533",17
"140534",17
"140535",17
"140536",17
"140537",17
"140538",17
"140539",17
"140540",17
"140541",12
"140543",12
"140546",12
"140547",12
"140549",12
"140550",12
"140551",12
"140553",12
"140555",12
"140556",12
"140557",12
"140558",12
"140560",12
"140563",12
"140566",12
"140568",17
"140569",17
"140571",17
"140573",17
"140575",17
"140576",17
"140577",17
"140578",17
"140580",17
"140581",17
"140582",17
"140584",17
"140585",17
"140587",17
"140591",17
"140592",17
"140593",17
"140594",17
"140595",17
"140596",17
"140600",17
"140601",17
"140602",17
"140604",17
"140605",17
"140606",12
"140608",17
"140610",16
"140611",16
"140612",16
"140613",16
"140615",17
"140617",17
"140619",16
"140623",16
"140624",16
"140628",16
"140638",16
"140656",16
"140658",16
"140660",16
"140661",16
"140663",16
"140664",16
"140665",16
"140666",16
"140667",16
"140668",16
"140669",16
"140672",16
"140673",16
"140676",16
"140678",16
"140679",16
"140681",16
"140682",16
"140684",16
"140686",16
"140687",16
"140688",16
"140691",15
"140700",11
"140702",10
"140706",11
"140710",11
"140714",11
"140715",11
"140716",11
"140724",12
"140725",12
"140731",16
"140732",16
"140733",16
"140734",16
"140735",16
"140736",16
"140737",16
"140738",16
"140739",16
"140741",16
"140745",16
"140746",16
"140747",16
"140749",16
"140752",16
"140753",16
"140754",16
"140755",11
"140759",11
"140764",16
"140770",11
"140772",11
"140773",11
"140774",16
"140775",11
"140778",11
"140780",12
"140783",11
"140785",17
"140788",16
"140790",11
"140791",12
"140793",17
"140794",17
"140795",17
"140796",17
"140797",12
"140803",11
"140805",11
"140806",11
"140808",17
"140809",12
"140810",17
"140811",16
"140812",16
"140815",16
"140816",16
"140818",16
"140819",11
"140822",15
"140825",16
"140827",12
"140829",17
"140830",17
"140832",17
"140833",17
"140835",11
"140836",10
"140837",10
"140838",11
"140841",12
"140842",7
"140843",7
"140844",7
"140846",7
"140847",11
"140848",11
"140849",6
"140850",11
"140851",6
"140852",11
"140853",6
"140854",10
"140861",11
"140863",10
"140864",6
"140867",10
"140869",11
"140870",11
"140873",11
"140875",7
"140876",7
"140878",7
"140879",7
"140880",12
"140881",12
"140885",7
"140887",6
"140888",6
"140889",11
"140892",11
"140893",7
"140895",11
"140898",10
"140899",11
"140900",10
"140901",11
"140903",12
"140904",12
"140905",7
"140906",11
"140907",11
"140909",12
"140910",11
"140911",12
"140912",12
"140913",6
"140915",11
"140916",11
"140917",11
"140918",11
"140919",11
"140920",11
"140923",11
"140924",6
"140925",6
"140927",11
"140929",11
"140931",11
"140932",11
"140933",5
"140934",5
"140935",5
"140937",5
"140939",10
"140941",10
"140942",10
"140943",10
"140944",10
"140946",10
"140948",12
"140949",10
"140950",11
"140951",10
"140955",11
"140957",11
"140959",11
"140960",6
"140962",10
"140963",6
"140964",11
"140965",7
"140966",7
"140968",11
"140969",11
"140970",6
"140971",12
"140972",12
"140974",10
"140975",10
"140979",11
"140980",6
"140981",10
"140983",10
"140984",5
"140985",11
"140988",11
"140989",6
"140990",6
"140991",7
"140992",7
"140993",11
"140994",11
"140995",11
"140997",7
"141000",11
"141003",7
"141005",10
"141006",11
"141010",11
"141011",11
"141014",6
"141015",11
"141016",10
"141017",7
"141019",11
"141020",5
"141023",12
"141024",6
"141026",10
"141027",11
"141030",10
"141036",11
"141040",12
"141041",6
"141042",11
"141043",5
"141046",11
"141048",10
"141049",10
"141051",11
"141052",10
"141053",12
"141054",12
"141058",10
"141059",11
"141060",11
"141061",11
"141062",10
"141063",12
"141064",10
"141065",6
"141066",11
"141068",11
"141069",12
"141070",11
"141072",11
"141073",10
"141074",10
"141077",7
"141079",11
"141080",11
"141081",11
"141083",10
"141084",11
"141085",10
"141086",11
"141089",6
"141090",10
"141092",11
"141094",11
"141095",6
"141097",11
"141098",10
"141099",12
"141100",12
"141104",6
"141105",6
"141106",11
"141107",11
"141108",5
"141109",12
"141110",10
"141111",12
"141113",11
"141115",6
"141119",11
"141124",12
"141125",10
"141126",11
"141130",10
"141131",12
"141132",12
"141142",10
"141144",11
"141146",10
"141149",12
